YEAR,WAVE,SUB_REG,ST,SP_CODE,MODE_FX,AREA_X,ESTCLAIM,ESTCLVAR,ESTHARV,ESTHVAR,LANDING,LAND_VAR,ESTREL,ESTRLVAR,TOT_CAT,TOT_VAR,LBS_AB1,VAR_LBS,WGT_AB1,VAR_WAB1,MISS_FISH,ALT_FLAG,MODE,AREA,STATUS,DOWNLOAD
1990,5,6,37,8835250101,5,1,13515.25373,43222628.98,403.6894183,180595.2151,13918.94315,44927969.87,49.70036756,2560.503804,13968.64352,45240471.93,14560.47403,48975534.57,6604.587695,10076729,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1990,5,6,37,8835250101,5,2,1179.59555,486919.8233,0,0,1179.59555,486919.8233,25.97393013,700.5969643,1205.56948,496194.3144,2116.634647,1366183.714,960.0991775,281092.6552,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
1990,5,6,37,8835250101,5,5,3088.651938,6831241.338,156.6743937,27652.88134,3245.326331,7461672.772,39.16859841,1728.305084,3284.49493,7627922.155,2533.04439,4549173.207,1148.981398,935993.5727,0,0,CHARTER BOAT,INLAND,FINAL,18APR2021:16:20:59
1990,5,6,37,8835250101,7,1,86932.52279,884695315.6,17003.92156,72909303.37,103936.4444,1044387052,22099.15637,74113171.83,126035.6007,1451040594,127197.5504,1621643201,57696.43037,333653511.2,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1990,5,6,37,8835250101,7,2,4276.061771,10466158.87,1527.256818,1377793.386,5803.318589,12573147.42,5636.269428,25836774,11439.58802,69743475.96,5428.095671,11294168.11,2462.168044,2323778.032,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
1990,5,6,37,8835250101,7,5,166687.2215,1630253500,17334.19059,193856996,184021.4121,2081904220,61121.46995,372020056.6,245142.8821,2976696170,209239.7807,3457139131,94910.54193,711307276.9,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,18APR2021:16:20:59
1990,6,6,37,8835250101,3,1,1240724.6,1.41045E+11,786407.5156,76231337829,2027132.116,3.07963E+11,1242131.706,2.79102E+11,3269263.821,8.97845E+11,7001799.099,9.87E+12,3175995.237,2.03E+12,0,0,SHORE,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1990,6,6,37,8835250101,5,2,389.1780227,154727.1644,0,0,389.1780227,154727.1644,0,0,389.1780227,154727.1644,2852.511148,8312365.917,1293.890569,1710271.453,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
1990,6,6,37,8835250101,7,1,17037.75276,97211398.03,6973.740946,19927293.8,24011.4937,135436529.3,21934.97745,303987504.4,45946.47116,626739850.7,129030.6082,4403425328,58527.89993,906005908.6,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1990,6,6,37,8835250101,7,2,6572.466776,38781354.19,0,0,6572.466776,38781354.19,0,0,6572.466776,38781354.19,7662.801096,52715857.64,3475.823776,10846301.45,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
1990,6,6,37,8835250101,7,5,39386.98568,503859913.3,1629.770077,1750210.513,41016.75576,505431030.8,7681.720944,11506230.09,48698.4767,520515813.5,37932.66325,394448245.8,17206.14318,81157829.35,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,18APR2021:16:20:59
1991,1,6,37,8835250101,3,1,110819.8288,6421830615,2409.87918,5767643.13,113229.708,6557190475,91578.34469,7715615042,204808.0527,27643878647,153273.6791,14657450112,69524.48474,3015774179,0,0,SHORE,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,2,6,37,8835250101,3,1,297099.8275,26314034023,609653.7437,1.38674E+11,906753.5711,2.2602E+11,150651.7655,11559913919,1057405.337,3.03229E+11,1135176.191,3.4265E+11,514912.5422,70500376069,0,0,SHORE,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,2,6,37,8835250101,5,1,1297.281849,1837715.433,303.4114024,63158.30221,1600.693252,2146695.457,11.14054019,114.5750922,1611.833792,2155967.069,1708.343704,1854144.289,774.8996208,381490.6706,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,2,6,37,8835250101,5,2,133.1212951,11728.39823,0,0,133.1212951,11728.39823,0,0,133.1212951,11728.39823,1086.993434,800934.5922,493.0569874,164792.501,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
1991,2,6,37,8835250101,7,1,10153.32755,86783704.11,0,0,10153.32755,86783704.11,4414.734756,9478328.308,14568.06231,130644524.9,9141.751573,69338979.28,4146.671311,14266513.05,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,2,6,37,8835250101,7,2,4630.183699,18223689.01,0,0,4630.183699,18223689.01,0,0,4630.183699,18223689.01,27003.62572,747725758.8,12248.76427,153844769.7,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
1991,2,6,37,8835250101,7,5,11186.80201,35100856.3,5798.153032,35324601.12,16984.95504,83251013.17,17453.94097,73071181.63,34438.89601,211907640.4,16955.41926,106353824,7690.927725,21882326.99,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,18APR2021:16:20:59
1991,3,6,37,8835250101,3,1,182331.2735,2527668400,104103.6872,1054358675,286434.9607,4338623364,65987.37949,671916084.2,352422.3402,6377111201,289617.391,5536066923,131369.5868,1139047212,0,0,SHORE,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,3,6,37,8835250101,3,5,15823.97556,97801264.34,0,0,15823.97556,97801264.34,712.2766101,556067.5365,16536.25217,97094972.4,18056.31785,144815425.4,8190.292049,29795811.5,0,0,SHORE,INLAND,FINAL,18APR2021:16:20:59
1991,3,6,37,8835250101,5,1,2434.170275,3688269.527,0,0,2434.170275,3688269.527,251.5662694,62290.49179,2685.736544,4638098.712,2553.998649,3979781.812,1158.486188,818841.1448,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,3,6,37,8835250101,5,2,1198.04529,776439.7102,0,0,1198.04529,776439.7102,0,0,1198.04529,776439.7102,7322.637922,22215987.71,3321.526772,4570945.26,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
1991,3,6,37,8835250101,7,1,29604.86047,66675380.15,3058.835785,3924881.636,32663.69625,71427068.16,8112.605539,6426120.479,40776.30179,89429912.88,55925.78539,425473334.6,25367.76984,87541249.46,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,3,6,37,8835250101,7,2,10990.89462,35253262.77,1228.72682,743884.73,12219.62144,36237592.98,1263.903719,354634.5026,13483.52516,37474829.27,34410.02873,190613666.6,15608.28664,39218811.57,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
1991,3,6,37,8835250101,7,5,31218.41135,137118542.3,6851.770933,20561443.81,38070.18228,158803286.8,50353.6685,1716625526,88423.85078,2217921625,50752.67283,327880836.8,23021.26137,67461567.6,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,18APR2021:16:20:59
1991,4,6,37,8835250101,3,1,89095.70356,444507460.5,27560.09244,79936539.47,116655.796,585745663.5,50835.21116,253152606.5,167491.0072,1033055999,128995.7237,1025061339,58512.07643,210906637.7,0,0,SHORE,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,4,6,37,8835250101,3,5,803.0989771,700998.445,5269.697472,21224803.03,6072.796449,22183200.8,16361.8999,170607993.3,22434.69634,313365169.5,4597.304868,13074856.64,2085.323808,2690155.16,0,0,SHORE,INLAND,FINAL,18APR2021:16:20:59
1991,4,6,37,8835250101,5,1,5464.946981,8240718.602,0,0,5464.946981,8240718.602,292.945928,91498.20838,5757.892909,8765692.25,6683.484309,14484861.97,3031.608595,2980264.124,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,4,6,37,8835250101,5,2,2197.395545,1697354.892,0,0,2197.395545,1697354.892,0,0,2197.395545,1697354.892,5542.654883,12949354.7,2514.131762,2664333.103,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
1991,4,6,37,8835250101,7,1,10656.9517,15599283.56,0,0,10656.9517,15599283.56,5769.502079,9469115.134,16426.45378,31622420.56,7194.685063,6649083.993,3263.487736,1368050.764,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,4,6,37,8835250101,7,2,2314.95517,3549926.035,0,0,2314.95517,3549926.035,4862.086998,15400853.14,7177.042167,23343950.22,3550.493996,9077113.84,1610.493512,1867618.538,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
1991,4,6,37,8835250101,7,5,20858.10758,184242816.6,0,0,20858.10758,184242816.6,7007.48583,22198535.73,27865.59341,324069638.7,14244.87893,107130875.1,6461.434695,22042205.46,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,18APR2021:16:20:59
