"","DATE","TOT_CAT_ALL"
"170",2018-05-01,442568.42306
"171",2018-07-01,557415.8179012
"172",2018-09-01,376730.3595898
"173",2018-11-01,124319.73518265
"174",2019-01-01,453384.694351
"175",2019-03-01,703689.04455
"176",2019-05-01,564364.3220683
"177",2019-07-01,703234.702918
"178",2019-09-01,442209.4788565
"179",2019-11-01,88106.59729
