"","DATE","TOT_CAT_ALL"
"164",2017-05-01,2072134.6115178
"165",2017-07-01,447695.78261472
"166",2017-09-01,5254124.660211
"167",2017-11-01,1506942.67418548
"168",2018-01-01,2496.591383
"169",2018-03-01,1066985.90226869
"170",2018-05-01,1676286.8356651
"171",2018-07-01,866971.3965154
"172",2018-09-01,5235590.3061102
"173",2018-11-01,2368466.27211165
"174",2019-01-01,2270550.20107383
"175",2019-03-01,2172634.130036
"176",2019-05-01,4303534.1826894
"177",2019-07-01,930663.6884808
"178",2019-09-01,2148271.57799378
"179",2019-11-01,359916.09945741
